,Private,Apps,Accept,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
University of Scranton,Yes,4471,2942,11584,5986,650,800,83,83,14.1,41,9131,92
University of South Carolina at Aiken,No,848,560,5800,3066,500,1500,62,62,14.8,3,5035,48
University of South Carolina at Columbia,No,7693,5815,8074,3522,495,2941,84,88,16.9,18,8246,63
University of South Florida,No,7589,4676,6760,3776,500,2180,84,89,17,7,11020,47
University of Southern California,Yes,12229,8498,17230,6482,600,2210,90,94,11.4,10,17007,68
University of Southern Colorado,No,1401,1239,7100,4380,540,2948,63,88,19.4,0,5389,36
University of Southern Indiana,No,2379,2133,4973,3192,500,1425,56,65,22,21,4078,38
University of Southern Mississippi,No,2850,2044,4652,2470,500,500,78,99,18.7,23,5917,45
University of St. Thomas MN,Yes,2057,1807,11712,4037,500,800,80,80,13.8,13,8546,89
University of St. Thomas TX,Yes,374,280,8550,4050,500,1344,75,75,12.6,17,7237,62
University of Tennessee at Knoxville,No,7473,5372,5764,3262,750,3300,86,92,16.5,22,8612,53
University of Texas at Arlington,No,3281,2559,4422,2780,500,2850,73,73,21,4,4696,29
University of Texas at Austin,No,14752,9572,5130,3309,650,3140,91,99,19.7,11,7837,65
University of Texas at San Antonio,No,4217,3100,4104,5376,452,1200,94,100,25.3,3,4329,50
University of the Arts,Yes,974,704,12520,3860,1300,700,16,59,7.5,9,11641,57
University of the Pacific,Yes,2459,1997,16320,5326,646,1171,87,94,11.2,14,13706,65
University of the South,Yes,1445,966,15350,4080,450,810,89,93,10.3,52,18784,82
University of Tulsa,Yes,1712,1557,11750,4160,1200,2350,94,96,11.5,10,11743,47
University of Utah,No,5095,4491,6857,3975,858,3093,89,93,12.8,9,9275,37
University of Vermont,No,7663,6008,15516,4928,500,990,87,90,9.9,10,12646,79
University of Virginia,No,15849,5384,12212,3792,500,1000,90,92,9.5,22,13597,95
University of Washington,No,12749,7025,8199,4218,708,2172,96,94,9,10,16527,65
University of West Florida,No,1558,1254,6172,3994,541,1387,83,87,23.4,12,8488,53
University of Wisconsin-Stout,No,2593,1966,6704,2592,376,1750,78,78,21,17,6254,65
University of Wisconsin-Superior,No,910,910,7032,2780,550,1960,75,81,15.2,15,6490,36
University of Wisconsin-Whitewater,No,4400,3719,6950,2500,300,1200,90,95,23.1,16,5559,67
University of Wisconsin at Green Bay,No,2409,1939,6900,2800,475,1200,81,89,22.2,1,5968,46
University of Wisconsin at Madison,No,14901,10932,9096,4290,535,1545,93,96,11.5,20,11006,72
University of Wisconsin at Milwaukee,No,5244,3782,8786,2964,570,1980,79,87,15.9,8,8094,38
University of Wyoming,No,2029,1516,5988,3422,600,1500,91,94,15.1,13,8745,45
Upper Iowa University,Yes,663,452,8840,3060,500,1000,69,75,17.4,19,3733,78
Ursinus College,Yes,1399,1026,14900,5160,500,800,82,85,11.6,40,12082,79
Ursuline College,Yes,325,260,9600,4202,450,750,39,69,10.5,15,7164,68
Valley City State University,No,368,344,4286,2570,600,2000,39,41,14.9,25,4958,40
Valparaiso University,Yes,2075,1727,11800,3260,500,800,87,89,14.2,23,9681,95
Vanderbilt University,Yes,7791,4690,17865,6525,630,952,93,98,5.8,26,23850,83
Vassar College,Yes,3550,1877,18920,5950,600,800,90,98,9.7,39,17089,90
Villanova University,Yes,7759,5588,15925,6507,400,300,89,90,13.4,24,10458,96
Virginia Commonwealth University,No,4963,3497,10217,4182,500,3630,81,87,8.7,11,11183,45
Virginia State University,No,2996,2440,5587,4845,500,600,61,63,16,11,5733,31
Virginia Tech,No,15712,11719,10260,3176,740,2200,85,89,13.8,20,8944,73
Virginia Union University,Yes,1847,1610,7384,3494,500,1763,51,67,13.7,8,6757,30
Virginia Wesleyan College,Yes,1470,900,10900,5100,500,550,70,81,15.7,14,7804,68
Viterbo College,Yes,647,518,9140,3365,500,2245,51,65,10.7,31,8050,73
Voorhees College,Yes,1465,1006,4450,2522,500,1200,43,43,22.9,3,5861,58
Wabash College,Yes,800,623,12925,4195,500,635,78,85,9.9,55,14904,72
Wagner College,Yes,1416,1015,13500,5800,585,1700,67,78,13.2,23,9006,75
Wake Forest University,Yes,5661,2392,13850,4360,500,1250,95,97,4.3,37,41766,89
Walsh University,Yes,1092,890,8670,4180,500,1450,42,58,11.3,33,5738,68
Warren Wilson College,Yes,440,311,10000,3052,400,1100,65,75,11.4,20,9430,63
Wartburg College,Yes,1231,1074,11600,3610,400,850,66,91,12.4,37,7735,67
Washington and Jefferson College,Yes,1305,1100,16260,4005,300,500,91,91,12.1,40,10162,86
Washington and Lee University,Yes,3315,1096,13750,4619,680,1115,81,96,9.6,45,15736,90
Washington College,Yes,1209,942,15276,5318,500,300,79,86,11.2,37,10830,65
Washington State University,No,6540,5839,8200,4210,800,2719,84,87,16.9,30,10912,56
Washington University,Yes,7654,5259,18350,5775,768,1512,91,98,3.9,31,45702,90
Wayne State College,No,1373,1373,2700,2660,540,1660,60,68,20.3,29,4550,52
Waynesburg College,Yes,1190,978,8840,3620,500,1200,57,58,16.2,26,6563,63
Webber College,Yes,280,143,5590,2900,650,1952,53,63,15.1,4,4839,90
Webster University,Yes,665,462,9160,4340,500,500,68,68,20.6,14,6951,48
Wellesley College,Yes,2895,1249,18345,5995,500,700,94,98,10.6,51,21409,91
Wells College,Yes,318,240,14900,5550,600,500,93,98,8.3,42,13935,69
Wentworth Institute of Technology,Yes,1480,1257,9850,6050,850,920,10,68,15.4,8,17858,64
Wesley College,Yes,980,807,9890,4674,500,1350,52,57,14.4,15,6243,84
Wesleyan University,Yes,4772,1973,19130,5600,1400,1400,90,94,12.1,39,16262,92
West Chester University of Penn.,No,6502,3539,7844,4108,400,2000,76,79,15.3,16,6773,52
West Liberty State College,No,1164,1062,4470,2890,600,1210,33,33,16.3,10,4249,60
West Virginia Wesleyan College,Yes,1566,1400,14200,3775,450,1100,58,81,16.4,42,8080,67
Western Carolina University,No,3224,2519,6390,2380,110,1622,67,78,14.6,9,6554,55
Western Maryland College,Yes,1205,984,14510,5340,500,1400,84,91,12.5,39,10026,60
Western Michigan University,No,9167,7191,6940,4100,500,1700,80,84,24.7,11,5983,55
Western New England College,Yes,1650,1471,8994,5500,498,2065,74,97,15.4,15,8409,59
Western State College of Colorado,No,2702,1623,5918,3755,500,2050,76,79,19.4,4,4599,52
Western Washington University,No,5548,3563,8124,4144,639,2385,83,89,22.7,10,7203,61
Westfield State College,No,3100,2150,5542,3788,500,1300,75,79,15.7,20,4222,65
Westminster College MO,Yes,662,553,10720,4050,600,1650,66,70,12.5,20,7925,62
Westminster College,Yes,996,866,12065,3615,430,685,62,78,12.5,41,8596,80
Westminster College of Salt Lake City,Yes,917,720,8820,4050,600,2025,68,83,10.5,34,7170,50
Westmont College,No,950,713,14320,5304,490,1410,77,77,14.9,17,8837,87
Wheaton College IL,Yes,1432,920,11480,4200,530,1400,81,83,12.7,40,11916,85
Westminster College PA,Yes,1738,1373,18460,5970,700,850,92,96,13.2,41,22704,71
Wheeling Jesuit College,Yes,903,755,10500,4545,600,600,66,71,14.1,27,7494,72
Whitman College,Yes,1861,998,16670,4900,750,800,80,83,10.5,51,13198,72
Whittier College,Yes,1681,1069,16249,5699,500,1998,84,92,13.6,29,11778,52
Whitworth College,Yes,1121,926,12660,4500,678,2424,80,80,16.9,20,8328,80
Widener University,Yes,2139,1492,12350,5370,500,1350,88,86,12.6,19,9603,63
Wilkes University,Yes,1631,1431,11150,5130,550,1260,78,92,13.3,24,8543,67
Willamette University,Yes,1658,1327,14800,4620,400,790,91,94,13.3,37,10779,68
William Jewell College,Yes,663,547,10060,2970,500,2600,74,80,11.2,19,7885,59
William Woods University,Yes,469,435,10535,4365,550,3700,39,66,12.9,16,7438,52
Williams College,Yes,4186,1245,19629,5790,500,1200,94,99,9,64,22014,99
Wilson College,Yes,167,130,11428,5084,450,475,67,76,8.3,43,10291,67
Wingate College,Yes,1239,1017,7820,3400,550,1550,69,81,13.9,8,7264,91
Winona State University,No,3325,2047,4200,2700,300,1200,53,60,20.2,18,5318,58
Winthrop University,No,2320,1805,6400,3392,580,2150,71,80,12.8,26,6729,59
Wisconsin Lutheran College,Yes,152,128,9100,3700,500,1400,48,48,8.5,26,8960,50
Wittenberg University,Yes,1979,1739,15948,4404,400,800,82,95,12.8,29,10414,78
Wofford College,Yes,1501,935,12680,4150,605,1440,91,92,15.3,42,7875,75
Worcester Polytechnic Institute,Yes,2768,2314,15884,5370,530,730,92,94,15.2,34,10774,82
Worcester State College,No,2197,1515,6797,3900,500,1200,60,60,21,14,4469,40
Xavier University,Yes,1959,1805,11520,4960,600,1250,73,75,13.3,31,9189,83
Xavier University of Louisiana,Yes,2097,1915,6900,4200,617,781,67,75,14.4,20,8323,49
Yale University,Yes,10705,2453,19840,6510,630,2115,96,96,5.8,49,40386,99
York College of Pennsylvania,Yes,2989,1855,4990,3560,500,1250,75,75,18.1,28,4509,99
